R,nodes,dimension,beta,epsilon,delta_frac,adv_std_dev,honest_distribution,iteration,f_approx,f_event,f_central,abs_error_approx,abs_error_event,comm_overhead_approx,comm_overhead_event,comm_overhead_central,storage_approx,storage_event,storage_central,power_tx_approx,power_tx_event,power_tx_central,avg_energy_per_node_approx,avg_energy_per_node_event,avg_energy_per_node_central,lifetime_rounds_approx,lifetime_rounds_event,lifetime_rounds_central,threshold,f_approx_exceeds_threshold,f_event_exceeds_threshold,f_central_untrimmed_mean,abs_error_untrimmed
5000,100,20,0.2,0.2,0.1,1.0,correlated_gaussian,1,48.11991268376396,48.55875554597998,47.84544054635059,0.27447213741336896,0.7133149996293895,365184,0,464064,1920.0,1920.0,1920.0,13595.270938819434,0.0,17276.429999540786,135.95270938819434,0.0,172.76429999540787,0.07355498867952952,inf,0.057882328700233805,50.0,False,False,42.46138613861386,5.384054407736727
5000,100,20,0.2,0.2,0.1,1.0,correlated_gaussian,2,47.96575781917853,48.55875554597998,47.983119009750475,0.01736119057194685,0.5756365362295028,363744,0,464352,1920.0,1920.0,1920.0,13541.661826284655,0.0,17287.15182204774,135.41661826284655,0.0,172.8715182204774,0.07384618024199796,inf,0.05784642897186897,50.0,False,False,42.547029702970306,5.436089306780168
5000,100,20,0.2,0.2,0.1,1.0,correlated_gaussian,3,47.32762840645812,48.55875554597998,47.741130833126164,0.41350242666804604,0.8176247128538137,365280,0,469536,1920.0,1920.0,1920.0,13598.844879655082,0.0,17480.144627172933,135.9884487965508,0.0,174.80144627172933,0.0735356575392721,inf,0.05720776465690663,50.0,False,False,42.57970297029703,5.161427862829136
5000,100,20,0.2,0.2,0.1,1.0,correlated_gaussian,4,46.83529558034474,48.55875554597998,47.67972109909202,0.8444255187472791,0.8790344468879567,363744,0,469248,1920.0,1920.0,1920.0,13541.661826284655,0.0,17469.422804665977,135.41661826284655,0.0,174.69422804665976,0.07384618024199796,inf,0.05724287580542765,50.0,False,False,42.53217821782178,5.14754288127024
5000,100,20,0.2,0.3,0.1,1.0,correlated_gaussian,0,46.49630400052136,46.49630400052136,47.794383289738846,1.2980792892174833,1.2980792892174833,346176,192000,464928,1920.0,1920.0,1920.0,12887.630653360371,7147.881671303589,17308.59546706165,128.87630653360372,71.4788167130359,173.08595467061647,0.07759378173514431,0.1399015884684652,0.057774762943822076,50.0,False,False,42.33514851485149,5.459234774887356
5000,100,20,0.2,0.3,0.1,1.0,correlated_gaussian,1,47.02056892781987,46.49630400052136,47.84544054635059,0.8248716185307146,1.349136545829225,345120,0,464064,1920.0,1920.0,1920.0,12848.317304168208,0.0,17276.429999540786,128.48317304168208,0.0,172.76429999540787,0.07783120359858978,inf,0.057882328700233805,50.0,False,False,42.46138613861386,5.384054407736727
5000,100,20,0.2,0.3,0.1,1.0,correlated_gaussian,2,48.58547344937458,46.49630400052136,47.983119009750475,0.6023544396241078,1.4868150092291117,345408,0,464352,1920.0,1920.0,1920.0,12859.039126675158,0.0,17287.15182204774,128.59039126675157,0.0,172.8715182204774,0.0777663082092636,inf,0.05784642897186897,50.0,False,False,42.547029702970306,5.436089306780168
5000,100,20,0.2,0.3,0.1,1.0,correlated_gaussian,3,46.911105886820955,46.49630400052136,47.741130833126164,0.8300249463052083,1.2448268326048009,344928,0,469536,1920.0,1920.0,1920.0,12841.169422496907,0.0,17480.144627172933,128.41169422496907,0.0,174.80144627172933,0.0778745273968634,inf,0.05720776465690663,50.0,False,False,42.57970297029703,5.161427862829136
5000,100,20,0.2,0.3,0.1,1.0,correlated_gaussian,4,46.58174744796305,46.49630400052136,47.67972109909202,1.0979736511289673,1.1834170985706578,344352,0,469248,1920.0,1920.0,1920.0,12819.725777482985,0.0,17469.422804665977,128.19725777482984,0.0,174.69422804665976,0.07800478866376652,inf,0.05724287580542765,50.0,False,False,42.53217821782178,5.14754288127024
5000,100,20,0.2,0.4,0.1,1.0,correlated_gaussian,0,42.11234042733803,42.11234042733803,47.794383289738846,5.682042862400813,5.682042862400813,335520,192000,464928,1920.0,1920.0,1920.0,12490.923220603026,7147.881671303589,17308.59546706165,124.90923220603027,71.4788167130359,173.08595467061647,0.08005813360141067,0.1399015884684652,0.057774762943822076,50.0,False,False,42.33514851485149,5.459234774887356
